"route_file","import_hit","call_hit","status"
"rocketgpt_v3_full\webapp\next\app\api\orchestrator\builder\execute-all\route.ts","False","True","CALL_ONLY (REVIEW)"
"rocketgpt_v3_full\webapp\next\app\api\orchestrator\planner\run\route.ts","False","True","CALL_ONLY (REVIEW)"
"rocketgpt_v3_full\webapp\next\app\api\orchestrator\run\planner\route.ts","False","True","CALL_ONLY (REVIEW)"
"rocketgpt_v3_full\webapp\next\app\api\orchestrator\run\tester\route.ts","False","True","CALL_ONLY (REVIEW)"
"rocketgpt_v3_full\webapp\next\app\api\orchestrator\tester\execute\route.ts","False","True","CALL_ONLY (REVIEW)"
"rocketgpt_v3_full\webapp\next\app\api\rgpt\runtime-mode\route.ts","True","True","LIKELY_GUARDED"
"","False","False","UNGUARDED (LIKELY)"
"","False","False","UNGUARDED (LIKELY)"
"","False","False","UNGUARDED (LIKELY)"
"","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\approvals\create\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\approvals\update-status\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\builder\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\core-ai\ledger\ping\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\debug-auth\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\demo\chat\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\demo\orchestrator\status\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\demo\self-study\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\demo\upload\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\edge\echo\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\edge\ping\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\env\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\guest\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\health\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\limits\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\llm\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\logs\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\orchestrator\admin\safe-mode\disable\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\orchestrator\admin\safe-mode\enable\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\orchestrator\admin\safe-mode\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\orchestrator\auto-advance\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\orchestrator\build\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\orchestrator\builder\execute-next\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\orchestrator\builder\list\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\orchestrator\builder\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\orchestrator\clear-cache\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\orchestrator\config\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\orchestrator\health\basic\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\orchestrator\health\deep\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\orchestrator\health\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\orchestrator\info\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\orchestrator\logs\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\orchestrator\plan\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\orchestrator\release\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\orchestrator\run\builder\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\orchestrator\run\finalize\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\orchestrator\run\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\orchestrator\run\status\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\orchestrator\run-history\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\orchestrator\safe-mode\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\orchestrator\start-run\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\orchestrator\status\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\orchestrator\test\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\orchestrator\test-tester\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\planner\plan\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\planner\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\plans\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\report-error\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\self-improve\run\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\self-improve\status\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\sessions\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\status\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\suggest\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\tester\health\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\tester\run\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\usage\route.ts","False","False","UNGUARDED (LIKELY)"
"rocketgpt_v3_full\webapp\next\app\api\version\route.ts","False","False","UNGUARDED (LIKELY)"
